"eid","subject_abbreviation","subject"
"2-s2.0-0345376028","Human","Human"
"2-s2.0-0347930505","Human","Human"
"2-s2.0-0345689508","Human","Human"
"2-s2.0-0346328370","Human","Human"
"2-s2.0-0038806326","Human","Human"
"2-s2.0-0345166112","Human","Human"
"2-s2.0-1442350702","Human","Human"
"2-s2.0-0043289940","Human","Human"
"2-s2.0-0347253648","Human","Human"
"2-s2.0-0037400369","Human","Human"
"2-s2.0-0042568928","Human","Human"
"2-s2.0-0142123145","Ocean","Oceans"
"2-s2.0-0041738966","Ocean","Oceans"
"2-s2.0-0344121212","Ocean","Oceans"
"2-s2.0-33745530392","Space","Space"
"2-s2.0-0037252737","Space","Space"
"2-s2.0-0036555132","Atmos","Atmosphere"
"2-s2.0-0036555120","Atmos","Atmosphere"
"2-s2.0-0036555097","Atmos","Atmosphere"
"2-s2.0-0036863671","Atmos","Atmosphere"
"2-s2.0-0347298543","Atmos","Atmosphere"
"2-s2.0-0036806467","Bio-M","Biosphere - Marine"
"2-s2.0-0036261936","Bio-M","Biosphere - Marine"
"2-s2.0-0036926847","Bio-M","Biosphere - Marine"
"2-s2.0-0036124047","Bio-M","Biosphere - Marine"
"2-s2.0-0036260579","Bio-M","Biosphere - Marine"
"2-s2.0-0036923432","Bio-M","Biosphere - Marine"
"2-s2.0-0036923006","Bio-M","Biosphere - Marine"
"2-s2.0-0036066324","Bio-M","Biosphere - Marine"
"2-s2.0-0036927261","Bio-M","Biosphere - Marine"
"2-s2.0-0036922838","Bio-M","Biosphere - Marine"
"2-s2.0-0036970036","Bio-M","Biosphere - Marine"
"2-s2.0-0036628396","Bio-M","Biosphere - Marine"
"2-s2.0-0036778593","Bio-M","Biosphere - Marine"
"2-s2.0-0036927849","Bio-M","Biosphere - Marine"
"2-s2.0-0036049875","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036922631","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036909387","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036229866","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036230018","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036056759","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036010068","Bio-T","Biosphere - Terrestrial"
"2-s2.0-0036752514","Cryos","Cryosphere"
"2-s2.0-0036940234","Cryos","Cryosphere"
"2-s2.0-0036502352","Cryos","Cryosphere"
"2-s2.0-0036809818","Cryos","Cryosphere"
"2-s2.0-84879882376","Geosp","Geosphere"
"2-s2.0-0036214172","Geosp","Geosphere"
"2-s2.0-0036253760","Geosp","Geosphere"
"2-s2.0-0036303161","Geosp","Geosphere"
"2-s2.0-84871195495","Geosp","Geosphere"
"2-s2.0-0036910352","Geosp","Geosphere"
"2-s2.0-0036914895","Geosp","Geosphere"
"2-s2.0-0037145656","Geosp","Geosphere"
"2-s2.0-0036243007","Geosp","Geosphere"
"2-s2.0-0036888932","Geosp","Geosphere"
"2-s2.0-0141863740","Geosp","Geosphere"
"2-s2.0-0036998675","Geosp","Geosphere"
"2-s2.0-0036247312","Geosp","Geosphere"
"2-s2.0-0036811467","Geosp","Geosphere"
"2-s2.0-0038783393","Geosp","Geosphere"
"2-s2.0-0037155593","Geosp","Geosphere"
"2-s2.0-0037095520","Geosp","Geosphere"
"2-s2.0-0036183873","Geosp","Geosphere"
"2-s2.0-0036626466","Geosp","Geosphere"
"2-s2.0-0036918999","Geosp","Geosphere"
"2-s2.0-0036661143","Geosp","Geosphere"
"2-s2.0-0036644175","Geosp","Geosphere"
"2-s2.0-0036864567","Geosp","Geosphere"
"2-s2.0-0036910249","Human","Human"
"2-s2.0-0036790499","Human","Human"
"2-s2.0-1542271377","Human","Human"
"2-s2.0-0036141658","Human","Human"
"2-s2.0-0036922947","Human","Human"
"2-s2.0-0036624176","Ocean","Oceans"
"2-s2.0-0012257677","Space","Space"
"2-s2.0-85038315225","Space","Space"
"2-s2.0-34548353404","Space","Space"
"2-s2.0-10244226076","Space","Space"
"2-s2.0-0035878316","Atmos","Atmosphere"
"2-s2.0-0034767512","Atmos","Atmosphere"
"2-s2.0-0035443937","Atmos","Atmosphere"
"2-s2.0-0035418668","Atmos","Atmosphere"
"2-s2.0-0034989450","Bio-M","Biosphere - Marine"
"2-s2.0-0034960827","Bio-M","Biosphere - Marine"
"2-s2.0-0034948964","Bio-M","Biosphere - Marine"
"2-s2.0-0035722225","Bio-M","Biosphere - Marine"
